age,2015_city+village_all_younger,2015_city+village_all_older,2015_city+village_men_younger,2015_city+village_men_older,2015_city+village_women_younger,2015_city+village_women_older,2015_city_all_younger,2015_city_all_older,2015_city_men_younger,2015_city_men_older,2015_city_women_younger,2015_city_women_older,2015_village_all_younger,2015_village_all_older,2015_village_men_younger,2015_village_men_older,2015_village_women_younger,2015_village_women_older,2001_city+village_all_younger,2001_city+village_all_older,2001_city+village_men_younger,2001_city+village_men_older,2001_city+village_women_younger,2001_city+village_women_older,2001_city_all_younger,2001_city_all_older,2001_city_men_younger,2001_city_men_older,2001_city_women_younger,2001_city_women_older,2001_village_all_younger,2001_village_all_older,2001_village_men_younger,2001_village_men_older,2001_village_women_younger,2001_village_women_older
76,5.545,93.518,3.4259,95.934,7.3711,91.437,4.8524,94.269,3.1246,96.265,6.3168,92.577,7.0760,91.859,4.073,95.22,9.756,88.85,3.813,95.475,1.9526,97.605,5.4143,93.641,3.0999,96.291,1.6576,97.953,4.3360,94.865,5.2559,93.825,2.545,96.90,7.609,91.15
77,4.626,94.454,2.7967,96.574,6.2027,92.628,3.9870,95.147,2.5278,96.875,5.2239,93.683,6.0391,92.923,3.374,95.92,8.417,90.24,3.177,96.186,1.5841,98.047,4.5490,94.585,2.5689,96.900,1.3531,98.342,3.6110,95.663,4.4089,94.744,2.048,97.45,6.458,92.39
78,3.916,95.373,2.3110,97.203,5.2995,93.797,3.3405,96.012,2.0741,97.472,4.4138,94.776,5.1889,93.960,2.820,96.62,7.303,91.58,2.647,96.822,1.2875,98.415,3.8188,95.450,2.1336,97.431,1.1096,98.646,3.0112,96.388,3.6885,95.591,1.645,97.95,5.462,93.54
79,3.364,96.083,1.9381,97.688,4.5930,94.700,2.8504,96.659,1.7349,97.925,3.7960,95.586,4.4997,94.811,2.374,97.17,6.396,92.69,2.199,97.352,1.0521,98.712,3.1877,96.181,1.7832,97.866,0.9185,98.890,2.5243,96.988,3.0427,96.311,1.320,98.35,4.538,94.53
80,2.976,96.635,1.6784,98.061,4.0951,95.406,2.5139,97.149,1.4990,98.265,3.3741,96.203,3.9990,95.500,2.063,97.62,5.726,93.60,1.824,97.800,0.8505,98.947,2.6621,96.812,1.4817,98.216,0.7479,99.081,2.1105,97.475,2.5170,96.957,1.056,98.67,3.785,95.46
81,2.667,97.023,1.4783,98.321,3.6912,95.904,2.2542,97.486,1.3221,98.500,3.0443,96.625,3.5792,96.000,1.813,97.93,5.155,94.27,1.536,98.175,0.6981,99.149,2.2583,97.337,1.2480,98.518,0.6161,99.252,1.7896,97.889,2.1205,97.482,0.862,98.94,3.212,96.21
82,2.297,97.332,1.2527,98.521,3.1966,96.308,1.9416,97.745,1.1228,98.677,2.6356,96.955,3.0820,96.420,1.531,98.18,4.465,94.84,1.279,98.463,0.5674,99.301,1.8931,97.741,1.0379,98.751,0.5012,99.383,1.4979,98.210,1.7693,97.879,0.700,99.13,2.697,96.78
83,1.943,97.702,1.0341,98.747,2.7259,96.803,1.6389,98.058,0.9301,98.877,2.2397,97.364,2.6146,96.917,1.257,98.46,3.825,95.53,1.050,98.720,0.4530,99.432,1.5641,98.106,0.8438,98.962,0.3966,99.498,1.2271,98.502,1.4676,98.230,0.566,99.29,2.250,97.30
84,1.541,98.056,0.7946,98.965,2.1856,97.274,1.2998,98.361,0.7151,99.069,1.7953,97.760,2.0766,97.385,0.965,98.74,3.068,96.17,0.916,98.949,0.3888,99.546,1.3707,98.435,0.7277,99.156,0.3369,99.603,1.0626,98.772,1.2985,98.532,0.493,99.43,1.997,97.74
85,1.239,98.458,0.6294,99.205,1.7648,97.814,1.0459,98.700,0.5708,99.284,1.4485,98.204,1.6668,97.923,0.755,99.03,2.480,96.93,0.781,99.083,0.3266,99.611,1.1729,98.629,0.6130,99.272,0.2796,99.663,0.8988,98.937,1.1222,98.701,0.421,99.50,1.730,98.00
86,0.952,98.760,0.4777,99.370,1.3604,98.235,0.8056,98.954,0.4379,99.429,1.1173,98.551,1.2752,98.333,0.563,99.24,1.910,97.51,0.637,99.218,0.2620,99.673,0.9611,98.827,0.4931,99.386,0.2209,99.720,0.7263,99.101,0.9304,98.877,0.344,99.57,1.439,98.26
87,0.718,99.047,0.3516,99.522,1.0341,98.639,0.6074,99.194,0.3232,99.562,0.8484,98.882,0.9631,98.724,0.412,99.43,1.454,98.08,0.478,99.362,0.1952,99.737,0.7226,99.038,0.3660,99.506,0.1624,99.779,0.5404,99.273,0.7067,99.069,0.261,99.65,1.093,98.56
88,0.525,99.281,0.2548,99.648,0.7594,98.965,0.4414,99.392,0.2320,99.676,0.6188,99.151,0.7127,99.036,0.303,99.58,1.077,98.54,0.357,99.521,0.1417,99.804,0.5432,99.277,0.2689,99.633,0.1164,99.837,0.3996,99.459,0.5367,99.293,0.192,99.73,0.835,98.90
89,0.374,99.474,0.1820,99.745,0.5407,99.240,0.3147,99.558,0.1653,99.767,0.4413,99.381,0.5073,99.287,0.217,99.69,0.765,98.92,0.243,99.642,0.0953,99.858,0.3704,99.456,0.1785,99.731,0.0761,99.883,0.2663,99.600,0.3738,99.463,0.133,99.80,0.582,99.16
90,0.259,99.625,0.1305,99.817,0.3710,99.459,0.2210,99.685,0.1222,99.834,0.3047,99.558,0.3453,99.492,0.148,99.78,0.521,99.23,0.174,99.756,0.0662,99.904,0.2667,99.629,0.1261,99.821,0.0521,99.923,0.1895,99.733,0.2710,99.626,0.094,99.86,0.424,99.41
